timeStep;prevStat;prevAct;prevArg;obtRewd;oldQVal;newQVal;randAct
207;MocafeStateMocafeState<-32394, 16205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-528184170.0;0.0;-105636834.0;true
208;MocafeStateMocafeState<-32594, 16305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-534704570.0;0.0;-106940914.0;true
209;MocafeStateMocafeState<-32794, 16405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-541264970.0;0.0;-108252994.0;true
210;MocafeStateMocafeState<-32994, 16505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-547865370.0;0.0;-109573074.0;true
211;MocafeStateMocafeState<-33194, 16605.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-554505770.0;0.0;-110901154.0;true
212;MocafeStateMocafeState<-33394, 16705.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-561186170.0;0.0;-112237234.0;true
213;MocafeStateMocafeState<-33594, 16805.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-567906570.0;0.0;-113581314.0;true
214;MocafeStateMocafeState<-33794, 16905.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-574666970.0;0.0;-114933394.0;true
215;MocafeStateMocafeState<-33994, 17005.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-581467370.0;0.0;-116293474.0;true
216;MocafeStateMocafeState<-34194, 17105.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-588307770.0;0.0;-117661554.0;true
217;MocafeStateMocafeState<-34394, 17205.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-595188170.0;0.0;-119037634.0;true
218;MocafeStateMocafeState<-34594, 17305.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-602108570.0;0.0;-120421714.0;true
219;MocafeStateMocafeState<-34794, 17405.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-609068970.0;0.0;-121813794.0;true
220;MocafeStateMocafeState<-34994, 17505.0>;IncreaseDrinkPrice;IncreaseDrinkPriceArgSet<100>;-616069370.0;0.0;-123213874.0;true
